date_out,destination,price
2016-06-03,ZRH,276
2016-06-10,ZRH,276
2016-06-17,ZRH,311
2016-06-24,ZRH,300
2016-07-01,ZRH,294
2016-07-08,ZRH,307
2016-07-15,ZRH,340
2016-07-22,ZRH,346
2016-07-29,ZRH,346
2016-08-05,ZRH,325
2016-08-12,ZRH,309
2016-04-01,IST,373
2016-04-08,IST,491
2016-04-15,IST,333
2016-04-22,IST,298
2016-04-29,IST,393
2016-05-06,IST,369
2016-05-13,IST,293
2016-05-20,IST,282
2016-05-27,IST,415
2016-06-03,IST,349
2016-06-10,IST,267
2016-06-17,IST,313
2016-06-24,IST,313
2016-07-01,IST,373
2016-07-08,IST,484
2016-07-15,IST,472
2016-07-22,IST,535
2016-07-29,IST,550
2016-08-05,IST,457
2016-08-12,IST,416
2016-04-01,SVO,640
2016-04-08,SVO,663
2016-04-15,SVO,540
2016-04-22,SVO,511
2016-04-29,SVO,551
2016-05-06,SVO,552
2016-05-13,SVO,473
2016-05-20,SVO,470
2016-05-27,SVO,533
2016-06-03,SVO,543
2016-06-10,SVO,484
2016-06-17,SVO,506
2016-06-24,SVO,470
2016-07-01,SVO,662
2016-07-08,SVO,584
2016-07-15,SVO,707
2016-07-22,SVO,674
2016-07-29,SVO,678
2016-08-05,SVO,628
2016-08-12,SVO,606
2016-04-01,ATH,439
2016-04-08,ATH,498
2016-04-15,ATH,412
2016-04-22,ATH,436
2016-04-29,ATH,579
2016-05-06,ATH,635
2016-05-13,ATH,472
2016-05-20,ATH,472
2016-05-27,ATH,611
2016-06-03,ATH,609
2016-06-10,ATH,484
2016-06-17,ATH,456
2016-06-24,ATH,493
2016-07-01,ATH,486
2016-07-08,ATH,538
2016-07-15,ATH,600
2016-07-22,ATH,618
2016-07-29,ATH,713
2016-08-05,ATH,577
2016-08-12,ATH,553
2016-04-01,BSL,466
2016-04-08,BSL,229
2016-04-15,BSL,235
2016-04-22,BSL,272
2016-04-29,BSL,250
2016-05-06,BSL,207
2016-05-20,BSL,184
2016-05-27,BSL,249
2016-06-03,BSL,251
2016-06-10,BSL,207
2016-06-17,BSL,207
2016-06-24,BSL,231
2016-07-01,BSL,235
2016-07-08,BSL,223
2016-07-15,BSL,235
2016-07-22,BSL,212
2016-07-29,BSL,235
2016-08-05,BSL,251
2016-08-12,BSL,212
2016-04-01,SAW,412
2016-04-08,SAW,494
2016-04-15,SAW,357
2016-04-22,SAW,358
2016-04-29,SAW,524
2016-05-06,SAW,414
2016-05-13,SAW,394
2016-05-20,SAW,343
2016-05-27,SAW,467
2016-06-03,SAW,376
2016-06-10,SAW,312
2016-06-17,SAW,312
2016-06-24,SAW,345
2016-07-01,SAW,436
2016-07-08,SAW,502
2016-07-15,SAW,558
2016-07-22,SAW,586
2016-07-29,SAW,627
2016-08-05,SAW,550
2016-08-12,SAW,476
